year,make,model,product_image_url,product_url
11 - 17,AUDI,A1,/wp-content/uploads/2020/03/RACE-SPRINGS.png,/product/height-adjustable-coil-overs-audi-a1-11-17
11 - 17,AUDI,8X (MEXICO),/wp-content/uploads/2020/03/RACE-SPRINGS.png,/product/height-adjustable-coil-overs-audi-8x(mexico)-11-17
15 - 19,AUDI,A3,/wp-content/uploads/2020/03/RACE-SPRINGS.png,/product/height-adjustable-coil-overs-audi-a3-15-19
15 - 19,AUDI,8V,/wp-content/uploads/2020/03/RACE-SPRINGS.png,/product/height-adjustable-coil-overs-audi-8v-15-19
